🕘️更新时间,#genre#
2025-12-01 06:39:39,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv

📺央视频道,#genre#
CCTV-1,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv
CCTV-1,http://pull-skycorp.speedws.com/live/ft4Fc0PGDbG0WWFgXQNsNRHYYunA1tsr7a7BcSEpS7mJEWwX0jK.flv
CCTV-2,http://pull-skycorp.speedws.com/live/wsDPybYgMuqWqM6kVbNDXxU1hNsNRHYvGhZHFxhSHx8cqakkdgd999.flv
CCTV-2,http://223.167.230.235:4022/rtp/239.45.3.208:5140
CCTV-3,http://pull-skycorp.speedws.com/live/hbhyTVJFSgCenD0L9fpHmPCFf9duofVKizVpNsNRHY3evb3dZyF.flv
CCTV-4,http://pull-skycorp.speedws.com/live/SbKIYMAVfGY0Nq5LEW4SRUDn0NNsNRHYAG166MYUo9TSyI9UUqn.flv
CCTV-13,http://pull-skycorp.speedws.com/live/LGir9TM1r4L8cYYb8M6Yfwomw9o9lvl0awONsNRHYLWazSU1kmL.flv
CCTV-13,http://144.255.32.94:8288/rtp/239.21.2.3:5002
CCTV-13,http://tvtj.jxwltx.com:8003/cctv13.m3u8
CCTV-14,http://pull-skycorp.speedws.com/live/pyRhADNsNRHYlBACWdbgXVyOiRupG30JAzROyRtO5gX5E4fZWJ7.flv
CCTV-16,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226888/1.m3u8
CETV-1,http://222.212.84.190:54123/rtp/239.93.1.111:5140
CETV-1,http://113.25.107.142:10000/rtp/239.1.1.65:8065
CETV-1,http://60.223.72.140:8002/rtp/226.0.2.181:9360
CETV-1,http://118.81.98.245:8082/rtp/226.0.2.181:9360
CETV-1,http://171.125.90.120:6001/rtp/226.0.2.181:9360
CETV-1,http://116.179.130.16:6001/rtp/226.0.2.181:9360
CETV-1,http://171.117.158.149:9999/rtp/226.0.2.181:9360
CETV-1,http://221.205.180.120:8004/rtp/226.0.2.181:9360
CETV-2,http://222.212.84.190:54123/rtp/239.93.0.113:5140
CETV-4,http://117.174.25.254:8188/rtp/239.0.0.98:5140
CETV-4,http://222.212.84.190:54123/rtp/239.93.0.50:5140

💰央视付费频道,#genre#
文化精品,http://60.223.72.140:8002/rtp/226.0.2.219:9664
文化精品,http://221.205.180.120:8004/rtp/226.0.2.219:9664
文化精品,http://171.125.90.120:6001/rtp/226.0.2.219:9664
文化精品,http://171.117.158.149:9999/rtp/226.0.2.219:9664
文化精品,http://116.179.130.16:6001/rtp/226.0.2.219:9664
文化精品,http://118.81.98.245:8082/rtp/226.0.2.219:9664
央视台球,http://222.212.84.190:54123/rtp/239.93.0.203:9072
风云音乐,http://60.223.72.140:8002/rtp/226.0.2.220:9672
风云音乐,http://171.117.158.149:9999/rtp/226.0.2.220:9672
风云音乐,http://171.125.90.120:6001/rtp/226.0.2.220:9672
风云音乐,http://116.179.130.16:6001/rtp/226.0.2.220:9672
风云音乐,http://221.205.180.120:8004/rtp/226.0.2.220:9672
风云音乐,http://118.81.98.245:8082/rtp/226.0.2.220:9672
第一剧场,http://171.118.146.124:6001/rtp/226.0.2.221:9680
第一剧场,http://60.223.72.140:8002/rtp/226.0.2.221:9680
第一剧场,http://221.205.180.120:8004/rtp/226.0.2.221:9680
第一剧场,http://116.179.130.16:6001/rtp/226.0.2.221:9680
第一剧场,http://171.117.158.149:9999/rtp/226.0.2.221:9680
第一剧场,http://171.125.90.120:6001/rtp/226.0.2.221:9680
第一剧场,http://118.81.98.245:8082/rtp/226.0.2.221:9680
风云剧场,http://171.118.146.124:6001/rtp/226.0.2.227:9728
风云剧场,http://60.223.72.140:8002/rtp/226.0.2.227:9728
风云剧场,http://171.117.158.149:9999/rtp/226.0.2.227:9728
风云剧场,http://116.179.130.16:6001/rtp/226.0.2.227:9728
风云剧场,http://171.125.90.120:6001/rtp/226.0.2.227:9728
风云剧场,http://118.81.98.245:8082/rtp/226.0.2.227:9728
风云剧场,http://221.205.180.120:8004/rtp/226.0.2.227:9728
怀旧剧场,http://60.223.72.140:8002/rtp/226.0.2.224:9704
怀旧剧场,http://171.118.146.124:6001/rtp/226.0.2.224:9704
怀旧剧场,http://221.205.180.120:8004/rtp/226.0.2.224:9704
怀旧剧场,http://171.117.158.149:9999/rtp/226.0.2.224:9704
怀旧剧场,http://171.125.90.120:6001/rtp/226.0.2.224:9704
怀旧剧场,http://116.179.130.16:6001/rtp/226.0.2.224:9704
怀旧剧场,http://118.81.98.245:8082/rtp/226.0.2.224:9704
女性时尚,http://171.125.90.120:6001/rtp/226.0.2.226:9720
高尔夫网球,http://171.117.158.149:9999/rtp/226.0.2.217:9648
高尔夫网球,http://171.118.146.124:6001/rtp/226.0.2.217:9648
高尔夫网球,http://171.125.90.120:6001/rtp/226.0.2.217:9648
高尔夫网球,http://221.205.180.120:8004/rtp/226.0.2.217:9648
高尔夫网球,http://116.179.130.16:6001/rtp/226.0.2.217:9648
高尔夫网球,http://60.223.72.140:8002/rtp/226.0.2.217:9648
高尔夫网球,http://118.81.98.245:8082/rtp/226.0.2.217:9648
电视指南,http://171.117.158.149:9999/rtp/226.0.2.218:9656
电视指南,http://118.81.98.245:8082/rtp/226.0.2.218:9656
电视指南,http://171.125.90.120:6001/rtp/226.0.2.218:9656
电视指南,http://171.118.146.124:6001/rtp/226.0.2.218:9656
电视指南,http://221.205.180.120:8004/rtp/226.0.2.218:9656
电视指南,http://116.179.130.16:6001/rtp/226.0.2.218:9656
电视指南,http://60.223.72.140:8002/rtp/226.0.2.218:9656
